run,expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,sd
10_100,stats,10,9.267125278711319e-6,1.0334595572203398e-5,90502.61480797148,408,0,1000,0,0.011049404507502913,9.49551723885777e-6
10_100,proxy,10,2.0128698088228703e-4,2.0930194295942783e-4,4586.890879480972,5344,4.591482361842815,999,1,0.21779458597302437,1.6435923266649375e-4
10_100,proxyC,10,3.242479870095849e-4,3.436399274505675e-4,2868.1431285186563,9576,5.747781820678671,998,2,0.3479603197192773,2.3211064320940024e-4
10_100,distances,10,2.571812365204096e-5,2.7201022021472454e-5,34801.13719962597,2992,0,1000,0,0.02873469318728894,7.00057140723757e-6
10_100,distances_matrix,10,4.7128996811807156e-5,4.9934082198888063e-5,18986.36513313114,7816,0,1000,0,0.05266937578562647,8.869091966295793e-6
10_100,Rfast,10,4.308181814849377e-6,4.699104465544224e-6,205313.2115611961,4248,0,1000,0,0.004870607168413699,1.2119878098292833e-6
10_100,rcpp_serial,10,1.9739381968975067e-6,2.2444874048233032e-6,356085.3097358486,3400,0,1000,0,0.0028083157958462834,1.2347272746903412e-5
10_100,rcpp_parallel_8,10,3.4848926588892937e-6,4.061439540237188e-6,213109.74267757783,3400,0,1000,0,0.004692418035119772,3.8406457983598006e-6
10_100,fortran_serial,10,4.268018528819084e-6,4.949048161506653e-6,165127.3358952667,2544,165.2926285237905,999,1,0.006049876566976309,2.266172090276895e-4
10_100,fortran_parallel_8,10,4.648929461836815e-6,5.098991096019745e-6,183009.66635017187,2544,0,1000,0,0.005464192247018218,3.098372962033288e-6
10_100,c_fortran_serial,10,5.058944225311279e-6,5.41098415851593e-6,179152.94906352976,0,0,1000,0,0.005581822711974382,1.170974688973839e-6
10_100,c_fortran_parallel_8,10,5.551031790673733e-6,5.931127816438675e-6,161854.74422855314,0,0,1000,0,0.006178379291668534,2.384112042777127e-6
10_100,GPUmatrix,10,3.525110660120845e-4,3.783201100304723e-4,2590.3303700913966,23296,5.1910428258344625,998,2,0.3852790406672284,6.953899932066573e-4
10_100,parallelDist_1,10,2.382404636591673e-5,2.514704829081893e-5,38166.4427248028,3960,0,1000,0,0.026201027096249163,4.522840938035847e-6
10_100,parallelDist_8,10,4.431302659213543e-5,7.203995482996106e-5,14034.565846745185,3960,0,1000,0,0.07125264941714704,7.776902529455315e-6
10_100,stats,20,2.0508072338998318e-5,2.1631130948662758e-5,43979.59953622724,1568,0,1000,0,0.02273781504482031,4.303569535809943e-6
10_100,proxy,20,2.1871994249522686e-4,2.3018202045932412e-4,4177.2256673140455,7272,8.371193722072237,998,2,0.23891455226112157,2.7938640574809583e-4
10_100,proxyC,20,3.655460895970464e-4,3.9360905066132545e-4,2492.906690708977,27448,2.4954020928017786,999,1,0.4007370206527412,1.904344476092442e-4
10_100,distances,20,2.74821650236845e-5,2.9335031285881996e-5,32467.5712997169,11392,0,1000,0,0.03079996316228062,6.489721749891846e-6
10_100,distances_matrix,20,5.2448129281401634e-5,5.5804033763706684e-5,17011.093593371184,29328,17.02812171508627,999,1,0.058726383140310645,1.9253685994288195e-4
10_100,Rfast,20,5.910987965762615e-6,6.5229833126068115e-6,70361.62993014856,9048,0,1000,0,0.014212291571311653,2.592136417379112e-5
10_100,rcpp_serial,20,4.378962330520153e-6,5.409936420619488e-6,85967.39771202885,5800,0,1000,0,0.011632316745817661,2.208826395871065e-5
10_100,rcpp_parallel_8,20,4.06801700592041e-6,6.2614562921226025e-6,133716.3793288906,5800,0,1000,0,0.007478515384718776,1.196255847666289e-5
10_100,fortran_serial,20,8.295988664031029e-6,9.953975677490234e-6,73027.6897943749,9744,0,1000,0,0.013693436048924923,2.306275849772718e-5
10_100,fortran_parallel_8,20,7.544062100350857e-6,8.255010470747948e-6,117828.12649300964,9744,0,1000,0,0.008486937964335084,2.302136907723038e-6
10_100,c_fortran_serial,20,6.571994163095951e-6,6.932998076081276e-6,140737.8624793508,0,0,1000,0,0.0071054084692150354,1.2306345928628287e-6
10_100,c_fortran_parallel_8,20,7.053138688206673e-6,7.4640847742557526e-6,127979.30289247197,0,0,1000,0,0.007813763455487788,3.7749158902126242e-6
10_100,GPUmatrix,20,3.557180752977729e-4,3.8026360562071204e-4,2563.589100039321,23296,5.1374531062912245,998,2,0.3892979572992772,3.6633754213082173e-4
10_100,parallelDist_1,20,3.241095691919327e-5,3.4054042771458626e-5,27877.19496489889,5120,0,1000,0,0.03587161481846124,6.8127889653651245e-6
10_100,parallelDist_8,20,4.966289270669222e-5,8.138304110616446e-5,12241.55878133679,5120,0,1000,0,0.08168894320260733,9.518622130636434e-6
10_100,stats,30,5.1126000471413136e-5,5.285895895212889e-5,17915.70338333731,3528,0,1000,0,0.05581695446744561,1.711364046305408e-5
10_100,proxy,30,2.481060801073909e-4,2.667598892003298e-4,3597.7384639662982,13232,7.2098967213753475,998,2,0.2773964839288965,2.63643653520579e-4
10_100,proxyC,30,3.999801119789481e-4,4.422101192176342e-4,2185.5701910398943,56448,2.187757948988883,999,1,0.4570889574242756,1.8973351419262227e-4
10_100,distances,30,2.9496033675968647e-5,3.7951976992189884e-5,22444.928533959708,25392,22.467395929889598,999,1,0.0445089410059154,1.9106429067922305e-4
10_100,distances_matrix,30,6.249698344618082e-5,6.773695349693298e-5,12888.394391304777,65256,12.90129568699177,999,1,0.07751159451436251,1.894871467905424e-4
10_100,Rfast,30,9.619048796594143e-6,1.0260031558573246e-5,94479.80012541602,17048,0,1000,0,0.010584273026324809,2.479954188441336e-6
10_100,rcpp_serial,30,9.116949513554573e-6,9.467999916523695e-6,103506.50153506492,9800,0,1000,0,0.009661228861659765,1.5654305975466859e-6
10_100,rcpp_parallel_8,30,4.358123987913132e-6,5.8710575103759766e-6,157158.80247666594,9800,0,1000,0,0.0063629907090216875,5.05538437545798e-6
10_100,fortran_serial,30,1.3856100849807262e-5,1.5177996829152107e-5,57145.86886695907,21744,57.20307193889797,999,1,0.017481578630395234,1.7810613008421587e-4
10_100,fortran_parallel_8,30,1.434690784662962e-5,1.5257974155247211e-5,62968.857880118856,21744,0,1000,0,0.01588086609262973,3.924862546133928e-6
10_100,c_fortran_serial,30,1.1010095477104187e-5,1.1492054909467697e-5,84754.89548102597,0,0,1000,0,0.011798728490248322,2.003845361779732e-6
10_100,c_fortran_parallel_8,30,1.1541997082531452e-5,1.2063072063028812e-5,81352.73902315187,0,0,1000,0,0.012292149127461016,1.356402075334871e-6
10_100,GPUmatrix,30,4.696710966527462e-4,4.961211234331131e-4,1973.1879996807713,23296,3.9542845684985397,998,2,0.5057804933749139,3.76188613129639e-4
10_100,parallelDist_1,30,4.602700937539339e-5,4.840106703341007e-5,19603.850389851435,7080,0,1000,0,0.05101038725115359,9.513044916683017e-6
10_100,parallelDist_8,30,5.139701534062624e-5,8.065102156251669e-5,11922.146281920948,7080,0,1000,0,0.08387751469854265,1.4022183782198677e-5
10_100,stats,40,1.1109909974038601e-4,1.141941174864769e-4,8538.699992669286,6288,0,1000,0,0.11711384647060186,1.024446991542239e-5
10_100,proxy,40,3.1157408375293016e-4,3.3005460863932967e-4,2892.2797828844978,21592,5.796151869508011,998,2,0.3450565211242065,2.4164065293444192e-4
10_100,proxyC,40,4.5587506610900164e-4,4.979295772500336e-4,166.98657219789538,99792,0.3346424292542994,998,2,5.976528452942148,0.17288113204991185
10_100,distances,40,3.289093729108572e-5,3.503047628328204e-5,27137.59646821617,44992,0,1000,0,0.03684924717526883,8.099671037386054e-6
10_100,distances_matrix,40,7.996009662747383e-5,8.701812475919724e-5,10237.341641737217,115568,20.515714712900234,998,2,0.09748624544590712,4.115525673606747e-4
10_100,Rfast,40,1.6150064766407013e-5,1.9436120055615902e-5,51259.572964444254,28248,51.31088384829255,999,1,0.01948904257733375,1.6986698180809887e-4
10_100,rcpp_serial,40,1.9125989638268948e-5,2.047908492386341e-5,47985.037313510584,15400,0,1000,0,0.020839829579927027,2.6861239842524346e-6
10_100,rcpp_parallel_8,40,6.141955964267254e-6,8.144997991621494e-6,118039.73657287772,15400,0,1000,0,0.008471723413094878,5.5246462691180125e-6
10_100,fortran_serial,40,2.6840134523808956e-5,3.183004446327686e-5,31613.217243013638,38544,31.644862105118754,999,1,0.031600706512108445,1.6876331933930342e-4
10_100,fortran_parallel_8,40,2.740207128226757e-5,3.2711075618863106e-5,30875.093996327123,38544,0,1000,0,0.03238856536336243,1.0513185637746697e-5
10_100,c_fortran_serial,40,2.023798879235983e-5,2.0898994989693165e-5,46292.817069894365,0,0,1000,0,0.02160162338986993,4.29576257524431e-6
10_100,c_fortran_parallel_8,40,2.090900670737028e-5,2.1610991097986698e-5,45474.75370151167,0,0,1000,0,0.021990223554894328,1.9735516147169813e-6
10_100,GPUmatrix,40,4.687791224569082e-4,5.010201130062342e-4,1907.9453471558174,23296,1.9098552023581756,999,1,0.5235999036813155,3.3068461387201364e-4
