expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,result,median_label,rank
%*%,10,7.20960088074207e-07,1.2119417078793e-06,370485.75805672485,848,0,10,0,2.69915908575058e-05,,1.2ns,1
crossprod,10,2.90607567876577e-06,3.60660487785935e-06,161036.6148683483,11504,0,10,0,6.20976788923144e-05,,3.6ns,2
Rfast,10,0.00100508297327906,0.00117285695159808,835.828595062142,997040,0,10,0,0.011964175500907,,1200ns,5
Matrix,10,4.82914038002491e-06,5.49055403098464e-06,119935.9767665908,848,0,10,0,8.3377817645669e-05,,5.5ns,3
GPUmatrix,10,0.000787918106652796,0.00111883354838938,885.7154409093074,484888,0,10,0,0.0112903078552336,,1100ns,4
%*%,100,7.80271366238594e-05,0.000285939604509622,2996.9633071208114,80048,0,10,0,0.0033367108553648,,290ns,1
crossprod,100,0.000214536092244089,0.000673049071338028,1621.763627944956,80048,0,10,0,0.00616612669546157,,670ns,2
Rfast,100,0.00450450892094523,0.0174024344305508,42.377721093759355,82600,0,10,0,0.235973047674634,,17000ns,5
Matrix,100,0.000393788097426295,0.00101204862585291,971.1503287487604,80048,0,10,0,0.0102970669977367,,1000ns,3
GPUmatrix,100,0.00103358912747353,0.00107128906529397,881.572439447879,71784,97.95249327198655,9,1,0.0102090305881575,,1100ns,4
%*%,1000,0.0108503941446543,0.0216052075847983,47.87982315901361,8000048,11.969955789753403,8,2,0.167084994725883,,22ms,3
crossprod,1000,0.0306988791562617,0.0354912370676175,25.42167663421007,8000048,10.895004271804314,7,3,0.275355559773743,,35ms,4
Rfast,1000,0.0332282471936196,0.0476091055315919,13.132593222914444,8002600,3.283148305728611,8,2,0.609171384829096,,48ms,5
Matrix,1000,0.0111565450206399,0.0119324560509995,74.43653462465294,8000048,31.901371981994114,7,3,0.0940398426027969,,12ms,2
GPUmatrix,1000,0.00137046107556671,0.00145003508077934,583.6509674866429,71784,0,10,0,0.017133527668193,,1.5ms,1
